天津频道,#genre#
中华美食,http://111.162.207.208:8686/rtp/225.1.1.77:5002
陶瓷,http://111.162.207.208:8686/rtp/225.1.2.189:5002
生活时尚,http://111.162.207.208:8686/rtp/225.1.1.143:5002
乐游,http://111.162.207.208:8686/rtp/225.1.1.145:5002
金色学堂,http://111.162.207.208:8686/rtp/225.1.1.236:5002
法治天地,http://111.162.207.208:8686/rtp/225.1.1.237:5002
东方财经,http://111.162.207.208:8686/rtp/225.1.1.247:5002
梨园频道,http://111.162.207.208:8686/rtp/225.1.2.104:5002
文物宝库,http://111.162.207.208:8686/rtp/225.1.2.105:5002
武术世界,http://111.162.207.208:8686/rtp/225.1.2.129:5002
快乐垂钓,http://111.162.207.208:8686/rtp/225.1.2.18:5002
茶频道,http://111.162.207.208:8686/rtp/225.1.2.19:5002
四海钓鱼,http://111.162.207.208:8686/rtp/225.1.2.117:5002
发现之旅,http://111.162.207.208:8686/rtp/225.1.1.183:5002
老故事,http://111.162.207.208:8686/rtp/225.1.1.188:5002
中学生,http://111.162.207.208:8686/rtp/225.1.1.193:5002
优优宝贝,http://111.162.207.208:8686/rtp/225.1.2.203:5002
新动漫,http://111.162.207.208:8686/rtp/225.1.1.216:5002
IPTV3+,http://111.162.207.208:8686/rtp/225.1.1.201:5002
IPTV足球,http://111.162.207.208:8686/rtp/225.1.1.105:5002
先锋乒羽,http://111.162.207.208:8686/rtp/225.1.1.219:5002
汽摩,http://111.162.207.208:8686/rtp/225.1.1.205:5002
环球奇观,http://111.162.207.208:8686/rtp/225.1.1.197:5002
书画,http://111.162.207.208:8686/rtp/225.1.2.22:5002
环球旅游,http://111.162.207.208:8686/rtp/225.1.2.200:5002
生态环境,http://111.162.207.208:8686/rtp/225.1.2.201:5002
财富天下,http://111.162.207.208:8686/rtp/225.1.2.198:5002
北京联通,#genre#
北京卫视,http://114.241.208.43:4022/rtp/239.3.1.241:8000
北京文艺,http://114.241.208.43:4022/rtp/239.3.1.242:8000
北京体育休闲,http://114.241.208.43:4022/rtp/239.3.1.243:8000
北京影视,http://114.241.208.43:4022/rtp/239.3.1.158:8000
北京财经,http://114.241.208.43:4022/rtp/239.3.1.116:8000
北京生活,http://114.241.208.43:4022/rtp/239.3.1.117:8000
北京新闻,http://114.241.208.43:4022/rtp/239.3.1.159:8000
卡酷少儿,http://114.241.208.43:4022/rtp/239.3.1.189:8000
北京纪实科教,http://114.241.208.43:4022/rtp/239.3.1.115:8000
北京国际,http://114.241.208.43:4022/rtp/239.3.1.235:8000
CCTV-1综合,http://114.241.208.43:4022/rtp/239.3.1.129:8008
CCTV-2财经,http://114.241.208.43:4022/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.241.208.43:4022/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.241.208.43:4022/rtp/239.3.1.105:8092
CCTV-4欧洲,http://114.241.208.43:4022/rtp/239.3.1.213:4220
CCTV-4美洲,http://114.241.208.43:4022/rtp/239.3.1.214:4220
CCTV-5体育,http://114.241.208.43:4022/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.241.208.43:4022/rtp/239.3.1.130:8004
CCTV-6电影,http://114.241.208.43:4022/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.241.208.43:4022/rtp/239.3.1.61:8104
CCTV-8电视剧,http://114.241.208.43:4022/rtp/239.3.1.175:8001
CCTV-9纪录,http://114.241.208.43:4022/rtp/239.3.1.62:8112
CCTV-10科教,http://114.241.208.43:4022/rtp/239.3.1.63:8116
CCTV-11戏曲,http://114.241.208.43:4022/rtp/239.3.1.152:8120
CCTV-12社会与法,http://114.241.208.43:4022/rtp/239.3.1.64:8124
CCTV-13新闻,http://114.241.208.43:4022/rtp/239.3.1.124:8128
CCTV-14少儿,http://114.241.208.43:4022/rtp/239.3.1.65:8132
CCTV-15音乐,http://114.241.208.43:4022/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://114.241.208.43:4022/rtp/239.3.1.184:8001
CCTV-17农业农村,http://114.241.208.43:4022/rtp/239.3.1.151:8144
CCTV-4K超高清,http://114.241.208.43:4022/rtp/239.3.1.245:2000
CGTN,http://114.241.208.43:4022/rtp/239.3.1.215:4220
CGTN纪录,http://114.241.208.43:4022/rtp/239.3.1.216:4220
CGTN西语,http://114.241.208.43:4022/rtp/239.3.1.217:4220
CGTN法语,http://114.241.208.43:4022/rtp/239.3.1.218:4220
CGTN阿语,http://114.241.208.43:4022/rtp/239.3.1.219:4220
CGTN俄语,http://114.241.208.43:4022/rtp/239.3.1.220:4220
中国教育1,http://114.241.208.43:4022/rtp/239.3.1.57:8152
中国教育2,http://114.241.208.43:4022/rtp/239.3.1.54:4120
中国教育4,http://114.241.208.43:4022/rtp/239.3.1.56:4120
湖南卫视,http://114.241.208.43:4022/rtp/239.3.1.132:8012
江苏卫视,http://114.241.208.43:4022/rtp/239.3.1.135:8028
浙江卫视,http://114.241.208.43:4022/rtp/239.3.1.137:8036
上海东方卫视,http://114.241.208.43:4022/rtp/239.3.1.136:8032
安徽卫视,http://114.241.208.43:4022/rtp/239.3.1.211:8064
辽宁卫视,http://114.241.208.43:4022/rtp/239.3.1.210:8056
黑龙江卫视,http://114.241.208.43:4022/rtp/239.3.1.133:8016
吉林卫视,http://114.241.208.43:4022/rtp/239.3.1.240:8172
天津卫视,http://114.241.208.43:4022/rtp/239.3.1.141:1234
广东卫视,http://114.241.208.43:4022/rtp/239.3.1.142:8048
